INDEX,Issuer Ticker,Name,Asset Class,Weight (%),Sector,Exchange,Location,Market Currency
SWDA,AIR,AIRBUS GROUP,Equity,0.13,Industrials,Nyse Euronext - Euronext Paris,France,EUR
SWDA,CSX,CSX CORP,Equity,0.13,Industrials,NASDAQ,United States,USD
SWDA,BX,BLACKSTONE INC,Equity,0.13,Financials,New York Stock Exchange Inc.,United States,USD
SWDA,MU,MICRON TECHNOLOGY INC,Equity,0.13,Information Technology,NASDAQ,United States,USD
SWDA,ENB,ENBRIDGE INC,Equity,0.13,Energy,Toronto Stock Exchange,Canada,CAD
SWDA,SHW,SHERWIN WILLIAMS,Equity,0.13,Materials,New York Stock Exchange Inc.,United States,USD
SWDA,ILMN,ILLUMINA INC,Equity,0.13,Health Care,NASDAQ,United States,USD
SWDA,MMC,MARSH & MCLENNAN INC,Equity,0.13,Financials,New York Stock Exchange Inc.,United States,USD
SWDA,ENEL,ENEL,Equity,0.13,Utilities,Borsa Italiana,Italy,EUR
SWDA,CNR,CANADIAN NATIONAL RAILWAY,Equity,0.13,Industrials,Toronto Stock Exchange,Canada,CAD
SWDA,9984,SOFTBANK GROUP CORP,Equity,0.13,Communication,Tokyo Stock Exchange,Japan,JPY
SWDA,EL,ESTEE LAUDER INC CLASS A,Equity,0.13,Consumer Staples,New York Stock Exchange Inc.,United States,USD
SWDA,DAI,DAIMLER AG,Equity,0.13,Consumer Discretionary,Xetra,Germany,EUR
SWDA,RDSB,ROYAL DUTCH SHELL PLC CLASS B,Equity,0.13,Energy,London Stock Exchange,United Kingdom,GBP
SWDA,CME,CME GROUP INC CLASS A,Equity,0.12,Financials,NASDAQ,United States,USD
SWDA,ITW,ILLINOIS TOOL INC,Equity,0.12,Industrials,New York Stock Exchange Inc.,United States,USD
SWDA,BAS,BASF N,Equity,0.12,Materials,Xetra,Germany,EUR
SWDA,ZM,ZOOM VIDEO COMMUNICATIONS INC CLAS,Equity,0.12,Information Technology,NASDAQ,United States,USD
SWDA,CI,CIGNA CORP,Equity,0.12,Health Care,New York Stock Exchange Inc.,United States,USD
SWDA,BDX,BECTON DICKINSON,Equity,0.12,Health Care,New York Stock Exchange Inc.,United States,USD
SWDA,EQIX,EQUINIX REIT INC,Equity,0.12,Real Estate,NASDAQ,United States,USD
SWDA,DTE,DEUTSCHE TELEKOM N AG,Equity,0.12,Communication,Xetra,Germany,EUR
SWDA,KER,KERING SA,Equity,0.12,Consumer Discretionary,Nyse Euronext - Euronext Paris,France,EUR
SWDA,BAM.A,BROOKFIELD ASSET MANAGEMENT INC CL,Equity,0.12,Financials,Toronto Stock Exchange,Canada,CAD
SWDA,6098,RECRUIT HOLDINGS LTD,Equity,0.12,Industrials,Tokyo Stock Exchange,Japan,JPY
SWDA,SO,SOUTHERN,Equity,0.12,Utilities,New York Stock Exchange Inc.,United States,USD
SWDA,ADSK,AUTODESK INC,Equity,0.12,Information Technology,NASDAQ,United States,USD
SWDA,BNP,BNP PARIBAS SA,Equity,0.12,Financials,Nyse Euronext - Euronext Paris,France,EUR
SWDA,IBE,IBERDROLA SA,Equity,0.12,Utilities,Bolsa De Madrid,Spain,EUR
SWDA,GM,GENERAL MOTORS,Equity,0.12,Consumer Discretionary,New York Stock Exchange Inc.,United States,USD
SWDA,FDX,FEDEX CORP,Equity,0.12,Industrials,New York Stock Exchange Inc.,United States,USD
SWDA,SNAP,SNAP INC CLASS A,Equity,0.12,Communication,New York Stock Exchange Inc.,United States,USD
SWDA,8306,MITSUBISHI UFJ FINANCIAL GROUP INC,Equity,0.12,Financials,Tokyo Stock Exchange,Japan,JPY
SWDA,ADS,ADIDAS N AG,Equity,0.12,Consumer Discretionary,Xetra,Germany,EUR
SWDA,WBC,WESTPAC BANKING CORPORATION CORP,Equity,0.12,Financials,Asx - All Markets,Australia,AUD
SWDA,0388,HONG KONG EXCHANGES AND CLEARING L,Equity,0.11,Financials,Hong Kong Exchanges And Clearing Ltd,Hong Kong,HKD
SWDA,HCA,HCA HEALTHCARE INC,Equity,0.11,Health Care,New York Stock Exchange Inc.,United States,USD
SWDA,NSC,NORFOLK SOUTHERN CORP,Equity,0.11,Industrials,New York Stock Exchange Inc.,United States,USD
SWDA,BHP,BHP GROUP PLC,Equity,0.11,Materials,London Stock Exchange,United Kingdom,GBP
SWDA,DPW,DEUTSCHE POST AG,Equity,0.11,Industrials,Xetra,Germany,EUR
SWDA,ZURN,ZURICH INSURANCE GROUP AG,Equity,0.11,Financials,SIX Swiss Exchange,Switzerland,CHF
SWDA,EW,EDWARDS LIFESCIENCES CORP,Equity,0.11,Health Care,New York Stock Exchange Inc.,United States,USD
SWDA,BMO,BANK OF MONTREAL,Equity,0.11,Financials,Toronto Stock Exchange,Canada,CAD
SWDA,SAN,BANCO SANTANDER SA,Equity,0.11,Financials,Bolsa De Madrid,Spain,EUR
SWDA,NAB,NATIONAL AUSTRALIA BANK LTD,Equity,0.11,Financials,Asx - All Markets,Australia,AUD
SWDA,6367,DAIKIN INDUSTRIES LTD,Equity,0.11,Industrials,Tokyo Stock Exchange,Japan,JPY
SWDA,ETN,EATON PLC,Equity,0.11,Industrials,New York Stock Exchange Inc.,United States,USD
SWDA,ATVI,ACTIVISION BLIZZARD INC,Equity,0.11,Communication,NASDAQ,United States,USD
SWDA,CL,COLGATE-PALMOLIVE,Equity,0.11,Consumer Staples,New York Stock Exchange Inc.,United States,USD
SWDA,CFR,COMPAGNIE FINANCIERE RICHEMONT SA,Equity,0.11,Consumer Discretionary,SIX Swiss Exchange,Switzerland,CHF
SWDA,FISV,FISERV INC,Equity,0.11,Information Technology,NASDAQ,United States,USD
SWDA,ABBN,ABB LTD,Equity,0.11,Industrials,SIX Swiss Exchange,Switzerland,CHF
SWDA,ICE,INTERCONTINENTAL EXCHANGE INC,Equity,0.11,Financials,New York Stock Exchange Inc.,United States,USD
SWDA,WM,WASTE MANAGEMENT INC,Equity,0.11,Industrials,New York Stock Exchange Inc.,United States,USD
SWDA,MCO,MOODYS CORP,Equity,0.11,Financials,New York Stock Exchange Inc.,United States,USD
SWDA,7741,HOYA CORP,Equity,0.11,Health Care,Tokyo Stock Exchange,Japan,JPY
SWDA,D,DOMINION ENERGY INC,Equity,0.11,Utilities,New York Stock Exchange Inc.,United States,USD
SWDA,ADI,ANALOG DEVICES INC,Equity,0.11,Information Technology,NASDAQ,United States,USD
SWDA,UBSG,UBS GROUP AG,Equity,0.10,Financials,SIX Swiss Exchange,Switzerland,CHF
SWDA,EMR,EMERSON ELECTRIC,Equity,0.10,Industrials,New York Stock Exchange Inc.,United States,USD
SWDA,AON,AON PLC CLASS A,Equity,0.10,Financials,New York Stock Exchange Inc.,United States,USD
SWDA,ANZ,AUSTRALIA AND NEW ZEALAND BANKING,Equity,0.10,Financials,Asx - All Markets,Australia,AUD
SWDA,APD,AIR PRODUCTS AND CHEMICALS INC,Equity,0.10,Materials,New York Stock Exchange Inc.,United States,USD
SWDA,REGN,REGENERON PHARMACEUTICALS INC,Equity,0.10,Health Care,NASDAQ,United States,USD
SWDA,BSX,BOSTON SCIENTIFIC CORP,Equity,0.10,Health Care,New York Stock Exchange Inc.,United States,USD
SWDA,TWLO,TWILIO INC CLASS A,Equity,0.10,Information Technology,New York Stock Exchange Inc.,United States,USD
SWDA,AAL,ANGLO AMERICAN PLC,Equity,0.10,Materials,London Stock Exchange,United Kingdom,GBP
SWDA,REL,RELX PLC,Equity,0.10,Industrials,London Stock Exchange,United Kingdom,GBP
SWDA,DG,DOLLAR GENERAL CORP,Equity,0.10,Consumer Discretionary,New York Stock Exchange Inc.,United States,USD
SWDA,NXPI,NXP SEMICONDUCTORS NV,Equity,0.10,Information Technology,NASDAQ,United States,USD
SWDA,4063,SHIN ETSU CHEMICAL LTD,Equity,0.10,Materials,Tokyo Stock Exchange,Japan,JPY
SWDA,DG,VINCI SA,Equity,0.10,Industrials,Nyse Euronext - Euronext Paris,France,EUR
SWDA,DOCU,DOCUSIGN INC,Equity,0.10,Information Technology,NASDAQ,United States,USD
SWDA,PGR,PROGRESSIVE CORP,Equity,0.10,Financials,New York Stock Exchange Inc.,United States,USD
SWDA,NOC,NORTHROP GRUMMAN CORP,Equity,0.10,Industrials,New York Stock Exchange Inc.,United States,USD
SWDA,8035,TOKYO ELECTRON LTD,Equity,0.10,Information Technology,Tokyo Stock Exchange,Japan,JPY
SWDA,FCX,FREEPORT MCMORAN INC,Equity,0.09,Materials,New York Stock Exchange Inc.,United States,USD
SWDA,LONN,LONZA GROUP AG,Equity,0.09,Health Care,SIX Swiss Exchange,Switzerland,CHF
SWDA,IDXX,IDEXX LABORATORIES INC,Equity,0.09,Health Care,NASDAQ,United States,USD
SWDA,BIIB,BIOGEN INC,Equity,0.09,Health Care,NASDAQ,United States,USD
SWDA,CS,AXA SA,Equity,0.09,Financials,Nyse Euronext - Euronext Paris,France,EUR
SWDA,RKT,RECKITT BENCKISER GROUP PLC,Equity,0.09,Consumer Staples,London Stock Exchange,United Kingdom,GBP
SWDA,EL,ESSILORLUXOTTICA SA,Equity,0.09,Consumer Discretionary,Nyse Euronext - Euronext Paris,France,EUR
SWDA,F,FORD MOTOR CO,Equity,0.09,Consumer Discretionary,New York Stock Exchange Inc.,United States,USD
SWDA,HUM,HUMANA INC,Equity,0.09,Health Care,New York Stock Exchange Inc.,United States,USD
SWDA,6594,NIDEC CORP,Equity,0.09,Industrials,Tokyo Stock Exchange,Japan,JPY
SWDA,IFX,INFINEON TECHNOLOGIES AG,Equity,0.09,Information Technology,Xetra,Germany,EUR
SWDA,JCI,JOHNSON CONTROLS INTERNATIONAL PLC,Equity,0.09,Industrials,New York Stock Exchange Inc.,United States,USD
SWDA,ECL,ECOLAB INC,Equity,0.09,Materials,New York Stock Exchange Inc.,United States,USD
SWDA,INGA,ING GROEP NV,Equity,0.09,Financials,Euronext Amsterdam,Netherlands,EUR
SWDA,MSCI,MSCI INC,Equity,0.09,Financials,New York Stock Exchange Inc.,United States,USD
SWDA,CM,CANADIAN IMPERIAL BANK OF COMMERCE,Equity,0.09,Financials,Toronto Stock Exchange,Canada,CAD
SWDA,BAYN,BAYER AG,Equity,0.09,Health Care,Xetra,Germany,EUR
SWDA,6501,HITACHI LTD,Equity,0.09,Industrials,Tokyo Stock Exchange,Japan,JPY
SWDA,WES,WESFARMERS LTD,Equity,0.09,Consumer Discretionary,Asx - All Markets,Australia,AUD
