Japan;NIKKEI 225;8766.T;Tokio Marine Holdings;Versicherung
Japan;NIKKEI 225;2503.T;Kirin Holdings;Nahrungsmittel
Japan;NIKKEI 225;6301.T;Komatsu;Maschinen
Japan;NIKKEI 225;9022.T;Central Japan Railway;Eisenbahnbetreiber
Japan;NIKKEI 225;2002.T;Nisshin Seifun Group;Nahrungsmittel
Japan;NIKKEI 225;7270.T;Subaru Corporation;Automotives
Japan;NIKKEI 225;4151.T;Kyowa Hakko Kirin;Pharma
Japan;NIKKEI 225;5332.T;TOTO;Construction
Japan;NIKKEI 225;6770.T;Alps Alpine;Elektronik
Japan;NIKKEI 225;6841.T;Yokogawa Electric;Elektronik
Japan;NIKKEI 225;8267.T;Æon;Einzelhandel
Japan;NIKKEI 225;5901.T;Toyo Seikan Group Holdings;NE-Metalle
Japan;NIKKEI 225;6976.T;Taiyo Yuden;Elektronik
Japan;NIKKEI 225;7272.T;Yamaha Motor;Motorräder
Japan;NIKKEI 225;8252.T;Marui Group;Einzelhandel
Japan;NIKKEI 225;2282.T;Nh Foods;Nahrungsmittel
Japan;NIKKEI 225;8001.T;Itochu;Handelshaus
Japan;NIKKEI 225;9009.T;Keisei Electric Railway;Eisenbahnbetreiber
Japan;NIKKEI 225;8802.T;Mitsubishi Estate;Immobilien
Japan;NIKKEI 225;1928.T;Sekisui House;Construction
Japan;NIKKEI 225;2269.T;Meiji Holdings;Nahrungsmittel
Japan;NIKKEI 225;2802.T;Ajinomoto;Nahrungsmittel
Japan;NIKKEI 225;8031.T;Mitsui Bussan;Mischkonzern
Japan;NIKKEI 225;5713.T;Sumitomo Metal Mining;NE-Metalle
Japan;NIKKEI 225;6479.T;Minebea Mitsumi;Elektronik
Japan;NIKKEI 225;5333.T;NGK Insulators;Keramik und Akkumulatoren
Japan;NIKKEI 225;6326.T;Kubota;Maschinen
Japan;NIKKEI 225;7731.T;Nikon;Präzisionsgeräte
Japan;NIKKEI 225;8053.T;Sumitomo Corporation;Handelshaus
Japan;NIKKEI 225;9301.T;Mitsubishi Logistics;Logistik
Japan;NIKKEI 225;1963.T;JGC;Construction
Japan;NIKKEI 225;5019.T;Idemitsu Kosan;Öl und Gas
Japan;NIKKEI 225;5802.T;Sumitomo Electric Industries;NE-Metalle
Japan;NIKKEI 225;8253.T;Credit Saison;Finanzdienstleistungen
Japan;NIKKEI 225;3405.T;Kuraray;Chemicals
Japan;NIKKEI 225;6503.T;Mitsubishi Electric;Elektronik
Japan;NIKKEI 225;6952.T;Casio Computer;Elektronik
Japan;NIKKEI 225;9008.T;Keio;Eisenbahnbetreiber
Japan;NIKKEI 225;5301.T;Tokai Carbon;Graphit
Japan;NIKKEI 225;6473.T;JTEKT;Maschinen
Japan;NIKKEI 225;2531.T;Takara Holdings;Nahrungsmittel
Japan;NIKKEI 225;2871.T;Nichirei;Nahrungsmittel
Japan;NIKKEI 225;4272.T;Nippon Kayaku;Chemicals
Japan;NIKKEI 225;7912.T;Dai Nippon Printing;Druckgewerbe
Japan;NIKKEI 225;9007.T;Odakyu Electric Railway;Eisenbahnbetreiber
Japan;NIKKEI 225;6178.T;Japan Post Holdings;Logistik
Japan;NIKKEI 225;6103.T;Okuma;Maschinen
Japan;NIKKEI 225;3407.T;Asahi Kasei;Chemicals
Japan;NIKKEI 225;7752.T;Ricoh;Elektronik
Japan;NIKKEI 225;1802.T;Obayashi;Construction
Japan;NIKKEI 225;3099.T;Isetan Mitsukoshi Holdings;Einzelhandel
Japan;NIKKEI 225;4902.T;Konica Minolta;Präzisionsgeräte
Japan;NIKKEI 225;6113.T;Amada;Maschinen
Japan;NIKKEI 225;9020.T;East Japan Railway;Eisenbahnbetreiber
Japan;NIKKEI 225;1801.T;Taisei;Construction
Japan;NIKKEI 225;5101.T;The Yokohama Rubber Company;Gummi
Japan;NIKKEI 225;6471.T;NSK;Maschinen
Japan;NIKKEI 225;8628.T;Matsui Securities;Investment
Japan;NIKKEI 225;8630.T;Sompo Japan Nipponkoa Holdings;Versicherung
Japan;NIKKEI 225;1803.T;Shimizu Corporation;Construction
Japan;NIKKEI 225;3105.T;Nisshinbo Holdings;Textilien
Japan;NIKKEI 225;4755.T;Rakuten;Internethandel
Japan;NIKKEI 225;6752.T;Panasonic;Elektronik
Japan;NIKKEI 225;8725.T;MS&AD Insurance Group Holdings;Insurance
Japan;NIKKEI 225;9005.T;Tokyu;Eisenbahnbetreiber
Japan;NIKKEI 225;7201.T;Nissan Motor;Automotives
Japan;NIKKEI 225;7205.T;Hino Motors;Automotives
Japan;NIKKEI 225;7735.T;Screen Holdings;Elektronik
Japan;NIKKEI 225;9432.T;Nippon Telegraph and Telephone;Kommunikation
Japan;NIKKEI 225;4042.T;Tosoh;Chemicals
Japan;NIKKEI 225;4751.T;CyberAgent;Commercial Services
Japan;NIKKEI 225;5214.T;Nippon Electric Glass;Glas
Japan;NIKKEI 225;7911.T;Toppan Printing;Druckgewerbe
Japan;NIKKEI 225;8355.T;The Shizuoka Bank;Banking
Japan;NIKKEI 225;1332.T;Nippon Suisan Kaisha;Fischerei
Japan;NIKKEI 225;1812.T;Kajima;Construction
Japan;NIKKEI 225;6702.T;Fujitsu;Elektronik
Japan;NIKKEI 225;8002.T;Marubeni;Handelshaus
