MELI;MERCADOLIBRE INC;Consumer Discretionary;NASDAQ;United States;USD
DUK;DUKE ENERGY CORP;Utilities;New York Stock Exchange Inc.;United States;USD
BATS.L;BRITISH AMERICAN TOBACCO PLC;Consumer Staples;London Stock Exchange;United Kingdom;GBP
COP;CONOCOPHILLIPS;Energy;New York Stock Exchange Inc.;United States;USD
BNS.TO;BANK OF NOVA SCOTIA;Financials;Toronto Stock Exchange;Canada;CAD
TFC;TRUIST FINANCIAL CORP;Financials;New York Stock Exchange Inc.;United States;USD
AIR.PA;AIRBUS GROUP;Industrials;Nyse Euronext - Euronext Paris;France;EUR
CSX;CSX CORP;Industrials;NASDAQ;United States;USD
BX;BLACKSTONE INC;Financials;New York Stock Exchange Inc.;United States;USD
MU;MICRON TECHNOLOGY INC;Information Technology;NASDAQ;United States;USD
ENB.TO;ENBRIDGE INC;Energy;Toronto Stock Exchange;Canada;CAD
SHW;SHERWIN WILLIAMS;Materials;New York Stock Exchange Inc.;United States;USD
ILMN;ILLUMINA INC;Health Care;NASDAQ;United States;USD
MMC;MARSH & MCLENNAN INC;Financials;New York Stock Exchange Inc.;United States;USD
ENEL.MI;ENEL;Utilities;Borsa Italiana;Italy;EUR
CNR.TO;CANADIAN NATIONAL RAILWAY;Industrials;Toronto Stock Exchange;Canada;CAD
9984.T;SOFTBANK GROUP CORP;Communication;Tokyo Stock Exchange;Japan;JPY
EL;ESTEE LAUDER INC CLASS A;Consumer Staples;New York Stock Exchange Inc.;United States;USD
DAI.DE;DAIMLER AG;Consumer Discretionary;Xetra;Germany;EUR
RDSB.L;ROYAL DUTCH SHELL PLC CLASS B;Energy;London Stock Exchange;United Kingdom;GBP
CME;CME GROUP INC CLASS A;Financials;NASDAQ;United States;USD
ITW;ILLINOIS TOOL INC;Industrials;New York Stock Exchange Inc.;United States;USD
BAS.DE;BASF N;Materials;Xetra;Germany;EUR
ZM;ZOOM VIDEO COMMUNICATIONS INC CLAS;Information Technology;NASDAQ;United States;USD
CI;CIGNA CORP;Health Care;New York Stock Exchange Inc.;United States;USD
BDX;BECTON DICKINSON;Health Care;New York Stock Exchange Inc.;United States;USD
EQIX;EQUINIX REIT INC;Real Estate;NASDAQ;United States;USD
DTE.DE;DEUTSCHE TELEKOM N AG;Communication;Xetra;Germany;EUR
KER.PA;KERING SA;Consumer Discretionary;Nyse Euronext - Euronext Paris;France;EUR
BAM-A.TO;BROOKFIELD ASSET MANAGEMENT INC CL;Financials;Toronto Stock Exchange;Canada;CAD
6098.T;RECRUIT HOLDINGS LTD;Industrials;Tokyo Stock Exchange;Japan;JPY
SO;SOUTHERN;Utilities;New York Stock Exchange Inc.;United States;USD
ADSK;AUTODESK INC;Information Technology;NASDAQ;United States;USD
BNP.PA;BNP PARIBAS SA;Financials;Nyse Euronext - Euronext Paris;France;EUR
IBE.MC;IBERDROLA SA;Utilities;Bolsa De Madrid;Spain;EUR
GM;GENERAL MOTORS;Consumer Discretionary;New York Stock Exchange Inc.;United States;USD
FDX;FEDEX CORP;Industrials;New York Stock Exchange Inc.;United States;USD
SNAP;SNAP INC CLASS A;Communication;New York Stock Exchange Inc.;United States;USD
8306.T;MITSUBISHI UFJ FINANCIAL GROUP INC;Financials;Tokyo Stock Exchange;Japan;JPY
ADS.DE;ADIDAS N AG;Consumer Discretionary;Xetra;Germany;EUR
WBC.AX;WESTPAC BANKING CORPORATION CORP;Financials;Asx - All Markets;Australia;AUD
0388.HK;HONG KONG EXCHANGES AND CLEARING L;Financials;Hong Kong Exchanges And Clearing Ltd;Hong Kong;HKD
HCA;HCA HEALTHCARE INC;Health Care;New York Stock Exchange Inc.;United States;USD
NSC;NORFOLK SOUTHERN CORP;Industrials;New York Stock Exchange Inc.;United States;USD
BHP.L;BHP GROUP PLC;Materials;London Stock Exchange;United Kingdom;GBP
DPW.DE;DEUTSCHE POST AG;Industrials;Xetra;Germany;EUR
ZURN.SW;ZURICH INSURANCE GROUP AG;Financials;SIX Swiss Exchange;Switzerland;CHF
EW;EDWARDS LIFESCIENCES CORP;Health Care;New York Stock Exchange Inc.;United States;USD
BMO.TO;BANK OF MONTREAL;Financials;Toronto Stock Exchange;Canada;CAD
SAN.MC;BANCO SANTANDER SA;Financials;Bolsa De Madrid;Spain;EUR
NAB.AX;NATIONAL AUSTRALIA BANK LTD;Financials;Asx - All Markets;Australia;AUD
6367.T;DAIKIN INDUSTRIES LTD;Industrials;Tokyo Stock Exchange;Japan;JPY
ETN;EATON PLC;Industrials;New York Stock Exchange Inc.;United States;USD
ATVI;ACTIVISION BLIZZARD INC;Communication;NASDAQ;United States;USD
CL;COLGATE-PALMOLIVE;Consumer Staples;New York Stock Exchange Inc.;United States;USD
CFR.SW;COMPAGNIE FINANCIERE RICHEMONT SA;Consumer Discretionary;SIX Swiss Exchange;Switzerland;CHF
FISV;FISERV INC;Information Technology;NASDAQ;United States;USD
ABBN.SW;ABB LTD;Industrials;SIX Swiss Exchange;Switzerland;CHF
ICE;INTERCONTINENTAL EXCHANGE INC;Financials;New York Stock Exchange Inc.;United States;USD
WM;WASTE MANAGEMENT INC;Industrials;New York Stock Exchange Inc.;United States;USD
MCO;MOODYS CORP;Financials;New York Stock Exchange Inc.;United States;USD
7741.T;HOYA CORP;Health Care;Tokyo Stock Exchange;Japan;JPY
D;DOMINION ENERGY INC;Utilities;New York Stock Exchange Inc.;United States;USD
ADI;ANALOG DEVICES INC;Information Technology;NASDAQ;United States;USD
UBSG.SW;UBS GROUP AG;Financials;SIX Swiss Exchange;Switzerland;CHF
EMR;EMERSON ELECTRIC;Industrials;New York Stock Exchange Inc.;United States;USD
AON;AON PLC CLASS A;Financials;New York Stock Exchange Inc.;United States;USD
ANZ.AX;AUSTRALIA AND NEW ZEALAND BANKING;Financials;Asx - All Markets;Australia;AUD
APD;AIR PRODUCTS AND CHEMICALS INC;Materials;New York Stock Exchange Inc.;United States;USD
REGN;REGENERON PHARMACEUTICALS INC;Health Care;NASDAQ;United States;USD
BSX;BOSTON SCIENTIFIC CORP;Health Care;New York Stock Exchange Inc.;United States;USD
TWLO;TWILIO INC CLASS A;Information Technology;New York Stock Exchange Inc.;United States;USD
AAL.L;ANGLO AMERICAN PLC;Materials;London Stock Exchange;United Kingdom;GBP
REL.L;RELX PLC;Industrials;London Stock Exchange;United Kingdom;GBP
DG;DOLLAR GENERAL CORP;Consumer Discretionary;New York Stock Exchange Inc.;United States;USD
NXPI;NXP SEMICONDUCTORS NV;Information Technology;NASDAQ;United States;USD
4063.T;SHIN ETSU CHEMICAL LTD;Materials;Tokyo Stock Exchange;Japan;JPY
DG.PA;VINCI SA;Industrials;Nyse Euronext - Euronext Paris;France;EUR
DOCU;DOCUSIGN INC;Information Technology;NASDAQ;United States;USD
PGR;PROGRESSIVE CORP;Financials;New York Stock Exchange Inc.;United States;USD
NOC;NORTHROP GRUMMAN CORP;Industrials;New York Stock Exchange Inc.;United States;USD
8035.T;TOKYO ELECTRON LTD;Information Technology;Tokyo Stock Exchange;Japan;JPY
FCX;FREEPORT MCMORAN INC;Materials;New York Stock Exchange Inc.;United States;USD
LONN.SW;LONZA GROUP AG;Health Care;SIX Swiss Exchange;Switzerland;CHF
IDXX;IDEXX LABORATORIES INC;Health Care;NASDAQ;United States;USD
BIIB;BIOGEN INC;Health Care;NASDAQ;United States;USD
CS.PA;AXA SA;Financials;Nyse Euronext - Euronext Paris;France;EUR
RKT.L;RECKITT BENCKISER GROUP PLC;Consumer Staples;London Stock Exchange;United Kingdom;GBP
EL.PA;ESSILORLUXOTTICA SA;Consumer Discretionary;Nyse Euronext - Euronext Paris;France;EUR
F;FORD MOTOR CO;Consumer Discretionary;New York Stock Exchange Inc.;United States;USD
HUM;HUMANA INC;Health Care;New York Stock Exchange Inc.;United States;USD
6594.T;NIDEC CORP;Industrials;Tokyo Stock Exchange;Japan;JPY
IFX.DE;INFINEON TECHNOLOGIES AG;Information Technology;Xetra;Germany;EUR
JCI;JOHNSON CONTROLS INTERNATIONAL PLC;Industrials;New York Stock Exchange Inc.;United States;USD
ECL;ECOLAB INC;Materials;New York Stock Exchange Inc.;United States;USD
INGA.AS;ING GROEP NV;Financials;Euronext Amsterdam;Netherlands;EUR
MSCI;MSCI INC;Financials;New York Stock Exchange Inc.;United States;USD
CM.TO;CANADIAN IMPERIAL BANK OF COMMERCE;Financials;Toronto Stock Exchange;Canada;CAD
BAYN.DE;BAYER AG;Health Care;Xetra;Germany;EUR
6501.T;HITACHI LTD;Industrials;Tokyo Stock Exchange;Japan;JPY
WES.AX;WESFARMERS LTD;Consumer Discretionary;Asx - All Markets;Australia;AUD
TEL;TE CONNECTIVITY LTD;Information Technology;New York Stock Exchange Inc.;United States;USD
ALGN;ALIGN TECHNOLOGY INC;Health Care;NASDAQ;United States;USD
PRU.L;PRUDENTIAL PLC;Financials;London Stock Exchange;United Kingdom;GBP
CMG;CHIPOTLE MEXICAN GRILL INC;Consumer Discretionary;New York Stock Exchange Inc.;United States;USD
7974.T;NINTENDO LTD;Communication;Tokyo Stock Exchange;Japan;JPY
KLAC;KLA CORP;Information Technology;NASDAQ;United States;USD
UBER;UBER TECHNOLOGIES INC;Industrials;New York Stock Exchange Inc.;United States;USD
DSV.CO;DSV PANALPINA;Industrials;Omx Nordic Exchange Copenhagen A/S;Denmark;DKK
TWTR;TWITTER INC;Communication;New York Stock Exchange Inc.;United States;USD
ADYEN.AS;ADYEN NV;Information Technology;Euronext Amsterdam;Netherlands;EUR
LHX;L3HARRIS TECHNOLOGIES INC;Industrials;New York Stock Exchange Inc.;United States;USD
4502.T;TAKEDA PHARMACEUTICAL LTD;Health Care;Tokyo Stock Exchange;Japan;JPY
7267.T;HONDA MOTOR LTD;Consumer Discretionary;Tokyo Stock Exchange;Japan;JPY
SIKA.SW;SIKA AG;Materials;SIX Swiss Exchange;Switzerland;CHF
VRTX;VERTEX PHARMACEUTICALS INC;Health Care;NASDAQ;United States;USD
A;AGILENT TECHNOLOGIES INC;Health Care;New York Stock Exchange Inc.;United States;USD
ROP;ROPER TECHNOLOGIES INC;Industrials;New York Stock Exchange Inc.;United States;USD
LULU;LULULEMON ATHLETICA INC;Consumer Discretionary;NASDAQ;United States;USD
ISP.MI;INTESA SANPAOLO;Financials;Borsa Italiana;Italy;EUR
TT;TRANE TECHNOLOGIES PLC;Industrials;New York Stock Exchange Inc.;United States;USD
BN.PA;DANONE SA;Consumer Staples;Nyse Euronext - Euronext Paris;France;EUR
MET;METLIFE INC;Financials;New York Stock Exchange Inc.;United States;USD
9433.T;KDDI CORP;Communication;Tokyo Stock Exchange;Japan;JPY
GPN;GLOBAL PAYMENTS INC;Information Technology;New York Stock Exchange Inc.;United States;USD
ATCO-A.ST;ATLAS COPCO CLASS A;Industrials;Nasdaq Omx Nordic;Sweden;SEK
MRVL;MARVELL TECHNOLOGY INC;Information Technology;NASDAQ;United States;USD
DOW;DOW INC;Materials;New York Stock Exchange Inc.;United States;USD
PSA;PUBLIC STORAGE REIT;Real Estate;New York Stock Exchange Inc.;United States;USD
GLEN.L;GLENCORE PLC;Materials;London Stock Exchange;United Kingdom;GBP
CP.TO;CANADIAN PACIFIC RAILWAY LTD;Industrials;Toronto Stock Exchange;Canada;CAD
IQV;IQVIA HOLDINGS INC;Health Care;New York Stock Exchange Inc.;United States;USD
EBAY;EBAY INC;Consumer Discretionary;NASDAQ;United States;USD
8316.T;SUMITOMO MITSUI FINANCIAL GROUP IN;Financials;Tokyo Stock Exchange;Japan;JPY
CARR;CARRIER GLOBAL CORP;Industrials;New York Stock Exchange Inc.;United States;USD
ROST;ROSS STORES INC;Consumer Discretionary;NASDAQ;United States;USD
RMS.PA;HERMES INTERNATIONAL;Consumer Discretionary;Nyse Euronext - Euronext Paris;France;EUR
ABI.BR;ANHEUSER BUSCH INBEV SA;Consumer Staples;Nyse Euronext - Euronext Brussels;Belgium;EUR
NEM;NEWMONT;Materials;New York Stock Exchange Inc.;United States;USD
DXCM;DEXCOM INC;Health Care;NASDAQ;United States;USD
BBVA.MC;BANCO BILBAO VIZCAYA ARGENTARIA SA;Financials;Bolsa De Madrid;Spain;EUR
KMB;KIMBERLY CLARK CORP;Consumer Staples;New York Stock Exchange Inc.;United States;USD
TROW;T ROWE PRICE GROUP INC;Financials;NASDAQ;United States;USD
RI.PA;PERNOD RICARD SA;Consumer Staples;Nyse Euronext - Euronext Paris;France;EUR
BK;BANK OF NEW YORK MELLON CORP;Financials;New York Stock Exchange Inc.;United States;USD
NG.L;NATIONAL GRID PLC;Utilities;London Stock Exchange;United Kingdom;GBP
AIG;AMERICAN INTERNATIONAL GROUP INC;Financials;New York Stock Exchange Inc.;United States;USD
TRP.TO;TC ENERGY CORP;Energy;Toronto Stock Exchange;Canada;CAD
PRX.AS;PROSUS NV;Consumer Discretionary;Euronext Amsterdam;Netherlands;EUR
INFO;IHS MARKIT LTD;Industrials;New York Stock Exchange Inc.;United States;USD
6981.T;MURATA MANUFACTURING LTD;Information Technology;Tokyo Stock Exchange;Japan;JPY
EXC;EXELON CORP;Utilities;NASDAQ;United States;USD
GD;GENERAL DYNAMICS CORP;Industrials;New York Stock Exchange Inc.;United States;USD
APTV;APTIV PLC;Consumer Discretionary;New York Stock Exchange Inc.;United States;USD
VOW3.DE;VOLKSWAGEN NON-VOTING PREF AG;Consumer Discretionary;Xetra;Germany;EUR
LLOY.L;LLOYDS BANKING GROUP PLC;Financials;London Stock Exchange;United Kingdom;GBP
