LIN.DE;108190000000.0;119450000000.0;51.74;26.32;2.46;4.74;2.69;4.38;14.45;0.81;31.86;39.88;226.4;130.45;208.38;208.12;871090.0;868970.0;525360000.0;521930000.0;0.18;81.96;;;;;;3.54;1.74;3.85;1.9;;81.96;1900-01-01;2021-03-04;;1900-01-01;2020-12-31;2020-12-31;9.18;15.07;2.94;5.18;27240000000.0;51.72;2.7;11860000000.0;8730000000.0;2500000000.0;4.71;50.7;3750000000.0;7.18;17220000000.0;34.74;0.8;90.42;7430000000.0;5080000000.0;The Priestley Centre10 Priestley Road Surrey Research ParkGuildford GU2 7XYUnited Kingdom44 14 8324 2200http://www.linde.com;Basic Materials;Specialty Chemicals;74207.0;1900-01-01;EUR
MRK.DE;56560000000.0;68590000000.0;29.98;19.01;1.75;3.27;3.16;3.91;13.84;0.44;26.43;39.88;149.95;76.22;139.84;132.5;367610.0;407950.0;129240000.0;129240000.0;0.0;52.2;;;;;;1.3;1.0;1.4;1.08;1.23;29.95;1900-01-01;2020-05-29;2:1;2014-06-30;2020-12-31;2020-12-31;11.33;17.56;4.5;11.42;17530000000.0;40.33;5.0;10750000000.0;4600000000.0;1990000000.0;4.57;37.1;1370000000.0;2.42;12140000000.0;71.35;1.0;30.05;3480000000.0;1880000000.0;Frankfurter Strasse 250Darmstadt 64293Germany49 6151 72 0http://www.merckgroup.com;Healthcare;Drug Manufacturers—Specialty & Generic;58127.0;2021-05-12;EUR
MTX.DE;10580000000.0;11170000000.0;29.83;31.75;4.34;2.45;4.36;2.52;13.41;;;;221.0;97.76;200.6;183.5;233880.0;250560.0;;;;;;;;;;;;3.4;1.71;;;1900-01-01;1900-01-01;;1900-01-01;1900-01-01;1900-01-01;;;;;;;;931300000.0;;;;;;;;;;;;;na;na;na;;2021-04-30;EUR
MUV2.DE;35780000000.0;35490000000.0;29.29;13.3;2.51;0.58;1.21;0.58;;0.97;17.53;39.88;266.8;141.1;235.85;232.96;408630.0;470310.0;140100000.0;140240000.0;0.03;42.21;;;;;;9.8;3.84;9.8;3.84;4.51;112.39;1900-01-01;2020-04-30;;1900-01-01;2019-12-31;2020-09-30;2.11;4.55;0.56;3.98;57880000000.0;410.9;0.3;17750000000.0;2850000000.0;1220000000.0;8.66;-77.1;6070000000.0;43.29;5280000000.0;17.8;0.4;210.6;;;KÃ¶niginstrasse 107Munich 80802Germany49 89 38 91 0http://www.munichre.com;Financial Services;Insurance—Reinsurance;39731.0;2021-03-17;EUR
RWE.DE;21260000000.0;13520000000.0;25.15;17.12;2.0;1.45;1.19;1.0;2.58;0.79;10.08;39.88;38.65;20.05;34.14;33.72;2700000.0;3860000.0;676220000.0;584250000.0;8.04;37.44;;;;;;0.85;2.75;0.8;2.54;;64.0;1900-01-01;2021-04-29;;1900-01-01;2019-12-31;2020-09-30;7.28;-0.04;-0.01;4.73;13550000000.0;21.79;11.4;3640000000.0;693000000.0;741000000.0;1.59;-93.1;7740000000.0;12.15;5120000000.0;28.31;1.73;28.05;2310000000.0;-3710000000.0;Altenessener Strasse 35Essen 45141Germany49 201 5179 0http://www.group.rwe/en;Utilities;Utilities—Diversified;19531.0;2021-03-16;EUR
SAP.DE;120060000000.0;126390000000.0;23.4;20.58;2.67;4.4;4.04;4.62;12.97;0.95;2.87;39.88;143.32;82.13;105.94;113.23;2960000.0;2700000.0;1190000000.0;1040000000.0;10.93;35.51;;;;;;1.58;1.55;1.85;1.82;1.4;36.32;1900-01-01;2020-05-22;3:1;2000-06-26;2020-12-31;2020-12-31;18.82;25.87;7.45;17.39;27340000000.0;23.13;-6.2;19710000000.0;8210000000.000002;5140000000.0;4.35;17.8;6870000000.0;5.82;15460000000.0;51.67;1.17;25.19;7190000000.0;7290000000.0;Dietmar-Hopp-Allee 16Walldorf 69190Germany49 6227 7 47474http://www.sap.com;Technology;Software—Application;102430.0;2021-04-22;EUR
SIE.DE;103210000000.0;124260000000.0;24.97;19.42;1.33;1.83;2.78;2.16;12.24;1.12;60.42;39.88;137.52;58.77;130.25;117.88;1810000.0;1660000.0;799310000.0;800040000.0;6.0;31.66;;;;;;3.5;2.71;3.5;2.71;3.47;75.44;1900-01-01;2021-02-04;;1900-01-01;2020-09-30;2020-12-31;7.52;8.9;2.34;9.91;57540000000.0;71.65;-30.7;20190000000.0;7550000000.0;4290000000.0;5.31;27.4;14020000000.0;17.52;43480000000.0;107.6;1.56;46.32;9640000000.0;6210000000.0;Werner-von-Siemens-Strasse 1Munich 80333Germany49 89 636 00http://www.siemens.com;Industrials;Specialty Industrial Machinery;197000.0;2021-05-07;EUR
VOW3.DE;103810000000.0;245780000000.0;23.95;10.67;;0.53;0.8;1.34;7.22;1.44;46.89;39.88;198.18;79.38;166.3;149.05;1400000.0;1610000.0;206200000.0;235420000.0;0.0;30.45;;;;;;4.86;2.51;4.86;2.51;;60.15;1900-01-01;2020-10-01;;1900-01-01;2020-12-31;2020-12-31;3.96;4.76;;7.17;222880000000.0;444.62;2.1;10610000000.0;22990000000.0;8820000000.0;17.6;150.4;47830000000.0;95.41;210800000000.0;172.22;;240.9;;;Berliner Ring 2Wolfsburg 38440Germany49 5361 9 0http://www.volkswagenag.com;Consumer Cyclical;Auto Manufacturers;662600.0;2021-03-16;EUR
VNA.DE;31460000000.0;30240000000.0;10.2;22.17;;8.8;1.39;9.07;5.55;0.44;8.31;39.88;62.74;36.71;54.76;57.26;1330000.0;1740000.0;565890000.0;565890000.0;0.0;58.1;;;;;;1.57;2.97;1.69;3.19;2.95;26.75;1900-01-01;2020-07-01;2:1;2017-06-14;2020-12-31;2020-12-31;81.03;40.24;1.71;14.54;4030000000.000001;7.33;12.1;2480000000.0;1690000000.0;3230000000.0;5.87;25.6;613300000.0;1.08;24660000000.0;99.3;0.61;42.67;1430000000.0;618640000.0;UniversitÃ¤tsstrasse 133Bochum 44803Germany49 234 314 1609http://www.vonovia.de;Real Estate;Real Estate Services;9669.0;2021-05-04;EUR
ARL.F;1310000000.0;;32.12;15.6;;1.57;0.46;;;1.81;0.65;39.88;22.9;12.31;20.02;18.81;1780.0;1460.0;59860000.0;56600000.0;0.0;64.68;;;;;;1.5;6.87;1.5;6.87;7.38;294.12;1900-01-01;2021-05-20;;1900-01-01;2020-12-31;2020-12-31;-19.63;-27.32;;-2.42;377000000.0;6.28;-89.6;377000000.0;;-90000000.0;-1.5;;11230000000.0;188.32;30630000000.0;;;47.46;;;Paulinenstrasse 15Wiesbaden 65189Germany49 611 348 0http://www.aareal-bank.com;Financial Services;Banks—Regional;;1900-01-01;EUR
